age,income,credit_score,loan_amount,loan_term,previous_defaults,bureau_score,external_data_score,loan_purpose_Business,loan_purpose_Education,loan_purpose_Home,loan_purpose_Personal,repayment_behavior_Good,repayment_behavior_Poor
27,193650,822,120594,36,3,756,44,True,False,False,False,False,True
27,121894,385,378649,24,1,757,20,True,False,False,False,False,False
52,156093,345,132441,48,4,647,6,False,True,False,False,False,True
42,137603,661,97199,36,0,682,53,False,False,False,True,False,False
46,92684,444,108742,24,1,795,44,False,False,True,False,False,True
36,81554,441,447480,48,4,781,30,False,False,True,False,False,False
31,27233,566,37202,48,4,318,1,True,False,False,False,False,False
63,60733,576,247634,24,4,368,30,True,False,False,False,True,False
37,157934,749,437628,60,0,698,42,False,True,False,False,False,True
24,127009,805,79310,48,0,591,1,False,True,False,False,False,False
34,90198,630,105726,48,0,391,25,True,False,False,False,False,False
47,144984,810,404046,60,3,377,72,False,True,False,False,True,False
28,121975,541,280538,36,2,740,56,False,False,False,False,False,True
46,91537,680,107420,48,0,341,68,False,True,False,False,True,False
27,120088,577,77035,12,1,855,34,True,False,False,False,False,True
52,155393,545,468423,48,4,747,25,False,False,False,True,False,False
41,29343,326,373065,36,1,379,8,False,False,False,False,False,False
32,120764,782,14586,48,2,372,13,True,False,False,False,False,True
36,154704,336,183308,60,1,785,77,False,False,False,False,False,True
25,32905,449,6320,24,3,620,31,False,False,False,True,True,False
35,34693,689,370129,60,2,577,66,False,False,False,False,False,True
68,94099,773,146035,48,4,416,18,False,False,False,False,True,False
24,128500,572,194932,48,1,406,74,False,False,False,True,True,False
41,102315,346,424238,48,4,780,39,False,False,True,False,True,False
44,161522,335,459412,48,3,816,22,False,False,False,False,False,True
67,195625,349,480313,12,0,610,7,False,True,False,False,True,False
18,152341,554,312312,48,4,379,86,False,True,False,False,False,False
31,92567,422,383888,24,2,735,48,True,False,False,False,False,False
38,38157,846,268382,12,2,737,53,False,False,False,False,False,True
29,137798,815,48677,12,0,468,38,False,False,True,False,False,False
34,153177,721,430173,24,4,708,16,False,False,False,False,False,True
58,54077,755,273251,48,1,844,74,False,False,True,False,True,False
33,141897,559,288962,36,4,357,38,False,False,False,False,False,True
55,113122,562,79134,24,4,728,85,False,False,True,False,False,True
49,180399,490,93529,48,0,601,66,False,True,False,False,False,False
20,54160,707,358784,60,2,737,96,False,False,True,False,True,False
43,189744,465,392150,12,4,524,65,False,False,True,False,False,True
37,184344,315,37664,36,0,883,60,False,True,False,False,True,False
57,147581,330,55241,36,4,689,14,False,True,False,False,False,True
23,20882,825,348603,24,0,381,14,False,True,False,False,True,False
30,185750,535,81945,60,4,324,69,False,False,False,True,False,True
39,181770,451,14496,24,2,677,96,False,True,False,False,False,True
22,88322,830,468378,24,2,834,75,False,False,False,False,False,False
55,83230,468,302850,12,3,525,55,False,False,False,True,False,True
61,186393,358,314571,36,2,630,91,False,False,False,False,False,False
29,77378,779,185626,60,1,844,69,False,False,False,True,False,False
38,95910,450,371616,36,2,738,15,False,False,True,False,False,True
52,161564,738,92087,24,2,849,78,False,False,True,False,True,False
28,101326,400,9983,36,2,699,23,False,False,False,True,False,False
56,148924,643,177980,48,0,314,76,False,False,True,False,True,False
61,72999,768,232603,36,2,441,70,True,False,False,False,True,False
54,185767,365,365962,12,0,532,66,True,False,False,False,True,False
20,117469,805,203989,24,2,746,55,False,False,False,True,False,False
20,168430,767,137639,24,4,414,5,False,False,True,False,True,False
66,142357,527,145350,24,3,486,92,False,False,True,False,False,False
32,110456,364,195701,12,0,389,46,False,False,False,True,True,False
18,177561,414,340988,48,3,660,36,False,False,True,False,False,True
21,138428,538,15910,60,1,715,46,False,False,False,False,False,False
47,82780,638,36147,24,2,572,55,True,False,False,False,True,False
21,153811,544,82219,12,4,831,99,False,False,True,False,False,False
45,63162,770,209021,36,4,862,45,False,True,False,False,False,False
34,191065,482,442512,24,3,833,84,False,False,True,False,True,False
19,57158,504,433535,60,4,559,47,False,True,False,False,False,True
21,35791,825,492683,24,4,517,60,False,True,False,False,True,False
44,141361,494,319106,36,3,342,77,True,False,False,False,False,False
58,161691,830,403521,12,1,467,7,False,False,False,True,True,False
27,36043,806,173899,12,3,510,67,True,False,False,False,False,True
58,58889,798,449605,48,3,694,10,False,True,False,False,False,False
31,47564,435,482347,12,3,444,17,False,False,True,False,False,False
29,41352,818,378894,36,0,497,17,False,False,False,False,True,False
48,140747,447,335484,48,2,802,90,False,True,False,False,False,True
57,92361,585,40546,36,1,533,71,True,False,False,False,False,True
32,66705,773,193327,24,2,757,94,False,False,True,False,False,True
32,68733,793,108623,24,4,565,50,False,True,False,False,True,False
31,107438,331,208114,12,4,828,77,False,True,False,False,False,True
64,23159,845,102275,36,2,676,60,False,False,True,False,False,True
63,64460,722,181374,36,4,317,6,False,False,False,False,True,False
41,143130,667,151854,48,1,454,49,False,False,False,True,False,True
23,176625,300,392167,24,3,549,84,True,False,False,False,True,False
39,67014,466,428751,12,3,854,13,False,False,True,False,False,False
23,124885,325,238829,48,2,420,41,False,False,False,False,True,False
29,40323,534,400084,24,3,676,55,False,True,False,False,False,True
66,127573,311,435912,36,0,307,92,False,False,False,True,False,True
65,21301,339,415784,48,3,370,87,False,False,False,False,False,True
23,55525,432,498938,24,4,633,93,True,False,False,False,False,True
37,124940,710,328827,24,1,645,28,True,False,False,False,False,False
22,56182,629,261083,48,4,703,2,False,False,True,False,True,False
25,82901,366,214944,24,4,393,25,False,False,False,True,False,True
44,42439,679,34533,36,3,479,72,False,False,False,True,False,True
43,69052,573,481799,48,0,385,92,False,False,True,False,False,False
65,46505,568,249841,60,2,506,93,True,False,False,False,False,True
54,172948,793,251220,60,1,808,72,False,True,False,False,False,False
66,174776,736,219982,24,4,384,77,False,False,False,True,False,True
64,74318,766,113417,60,3,790,53,False,True,False,False,False,False
20,54268,557,58076,48,0,511,39,False,True,False,False,False,False
69,128255,709,38282,12,3,449,74,False,False,False,True,False,True
49,181304,770,442991,24,1,322,5,False,False,False,True,False,False
64,122951,408,75053,60,1,542,40,False,False,False,True,True,False
33,64387,668,182248,48,2,671,75,True,False,False,False,True,False
54,193388,534,308874,36,3,654,85,False,False,False,True,True,False
66,189871,505,341369,60,4,301,45,False,False,False,False,False,False
41,78703,606,408976,60,0,748,69,False,False,True,False,False,True
21,130168,802,228112,60,3,855,18,False,True,False,False,False,False
49,101533,672,450170,24,3,829,90,False,False,True,False,True,False
33,140721,795,21167,60,3,479,59,False,False,False,False,False,True
40,21462,513,46646,60,2,393,95,True,False,False,False,False,False
60,85911,392,308242,36,0,525,71,False,False,True,False,False,False
57,190203,712,479835,48,1,740,20,True,False,False,False,False,False
45,143364,629,417707,48,2,474,35,False,True,False,False,False,False
18,109904,568,145119,60,1,864,95,True,False,False,False,True,False
61,150970,636,35982,24,3,679,87,False,False,True,False,False,False
63,97909,473,472518,60,3,596,76,False,False,True,False,False,False
66,40056,315,373708,60,4,563,59,False,False,False,False,False,True
38,107453,403,285356,12,1,301,28,False,False,False,True,False,True
50,124672,580,258130,36,1,404,87,False,False,True,False,False,True
44,195336,341,493260,24,1,729,28,False,False,True,False,True,False
56,96240,346,438384,24,3,679,2,True,False,False,False,True,False
57,163326,702,209583,12,1,326,60,False,True,False,False,True,False
62,67588,635,47616,24,0,512,67,False,False,True,False,False,False
52,74786,552,145441,12,3,755,61,False,False,True,False,False,True
52,121010,791,15349,60,4,879,92,False,False,True,False,False,False
57,35216,767,389224,60,4,500,87,False,False,False,False,False,False
64,167032,377,262282,60,2,755,59,True,False,False,False,True,False
63,52991,308,141243,48,3,679,35,False,False,True,False,False,False
67,118071,596,362705,48,1,585,86,False,False,False,True,False,True
48,98177,630,374651,24,3,523,82,True,False,False,False,True,False
51,107796,313,140183,48,0,304,87,False,False,True,False,True,False
19,105617,812,452651,36,1,828,5,False,False,False,False,False,False
38,24136,567,129225,60,0,467,42,False,False,False,False,True,False
68,113782,411,407964,48,3,467,14,False,False,True,False,True,False
61,108535,384,186532,60,4,713,72,False,True,False,False,False,False
66,96996,644,210103,12,4,624,11,False,False,True,False,True,False
54,160790,849,399823,36,0,887,59,True,False,False,False,False,True
60,20294,361,359373,24,1,813,73,False,False,True,False,True,False
51,30703,383,402152,36,1,583,74,False,False,True,False,False,True
47,125219,410,299542,24,4,546,58,False,False,True,False,False,True
40,40659,681,419380,60,3,583,33,False,False,False,True,False,True
31,160399,368,241104,36,1,872,7,False,False,False,False,False,True
20,199412,699,58520,24,1,378,6,False,False,False,True,False,True
56,106436,554,358770,12,1,772,82,False,False,False,False,True,False
38,159810,576,30622,48,3,313,75,False,False,False,False,False,False
49,194405,672,159756,60,4,501,96,False,False,False,True,False,False
66,151642,622,403300,12,2,555,40,False,False,False,True,False,True
41,85901,353,394925,36,0,652,70,False,False,True,False,False,True
21,147677,588,383884,36,3,330,71,True,False,False,False,False,False
42,182026,763,166017,24,2,486,6,False,False,True,False,False,False
45,65201,635,154712,24,0,451,26,True,False,False,False,False,True
27,135600,398,45880,48,1,440,78,False,False,True,False,False,True
30,54929,301,439465,48,3,551,76,True,False,False,False,True,False
69,120766,796,467297,12,1,695,11,False,False,False,False,True,False
64,162867,430,225788,24,0,612,42,False,False,False,True,False,False
41,65890,513,244434,36,0,424,13,False,False,False,True,False,False
47,191294,635,422876,36,3,471,18,False,False,False,True,True,False
19,184796,400,65262,12,2,737,26,True,False,False,False,True,False
60,143607,405,482061,12,0,754,72,False,False,True,False,False,True
30,31397,574,133476,24,2,313,60,False,False,False,True,False,True
69,108720,609,456142,24,0,383,94,False,True,False,False,False,True
42,192502,816,430962,12,2,714,70,False,False,False,True,True,False
45,37221,669,497958,48,0,303,16,False,True,False,False,False,False
45,66950,372,21489,60,1,476,13,False,False,True,False,False,True
31,151827,621,95388,24,1,786,69,False,True,False,False,False,True
52,54523,748,106976,36,4,336,86,True,False,False,False,True,False
56,180897,467,473702,24,4,782,35,False,False,True,False,False,False
55,56113,539,279391,60,3,548,60,True,False,False,False,False,False
63,70519,708,212012,12,2,687,66,False,False,False,True,True,False
50,196336,773,168992,36,4,533,37,False,False,False,False,True,False
59,114774,451,350938,36,2,529,52,False,False,False,False,True,False
31,116758,324,387500,12,4,518,99,False,False,True,False,True,False
40,46751,315,318905,36,2,860,46,False,False,False,False,False,False
20,190457,615,178211,12,1,718,67,False,False,False,True,False,True
66,69877,437,268649,48,4,457,88,False,False,True,False,False,True
36,116622,379,63168,12,4,887,8,False,True,False,False,True,False
36,128443,527,399677,36,1,551,9,False,False,False,True,True,False
36,30878,599,300845,24,1,372,91,False,False,True,False,True,False
19,151225,367,149013,12,1,668,55,False,False,False,True,False,True
47,86809,767,150949,36,4,342,91,False,False,False,False,False,False
41,137626,643,162904,24,1,492,90,False,False,True,False,False,False
29,151778,670,423048,48,0,795,84,False,False,True,False,False,True
43,181081,387,22441,24,2,806,1,True,False,False,False,False,False
36,170231,335,214066,36,3,441,92,False,False,False,False,True,False
66,123863,759,482258,24,0,559,23,False,False,False,False,False,True
31,153639,822,227716,48,0,681,13,False,True,False,False,False,False
57,42821,594,304227,48,1,365,63,False,False,False,True,False,False
37,142002,544,470462,48,0,660,70,False,False,False,True,True,False
20,118300,473,267113,60,4,823,67,True,False,False,False,True,False
23,60863,816,213963,48,1,853,28,False,False,True,False,True,False
26,105058,737,139363,12,1,589,94,True,False,False,False,False,False
33,55440,422,203107,24,4,388,1,False,False,False,True,False,False
47,174542,413,253139,48,4,548,86,True,False,False,False,False,False
19,45216,341,217208,12,3,637,29,False,False,False,False,False,False
48,58196,376,24673,36,0,842,89,False,False,False,True,False,True
53,174226,665,170201,12,0,705,36,False,False,True,False,False,True
59,100674,719,66330,36,2,303,74,True,False,False,False,True,False
42,77724,715,410519,48,3,759,41,False,False,False,False,False,False
64,31350,745,363720,60,4,765,34,False,True,False,False,False,True
32,140494,647,442929,36,1,471,92,False,True,False,False,True,False
46,78453,844,457772,24,3,688,11,False,False,True,False,False,True
38,107736,837,475452,24,3,426,6,True,False,False,False,True,False
38,31577,495,81067,24,2,559,78,False,False,False,False,False,True
46,145695,671,11846,60,4,594,23,True,False,False,False,False,False
66,100201,820,157079,36,1,631,24,True,False,False,False,False,False
38,136045,568,401076,12,0,461,36,False,True,False,False,False,False
63,106597,786,143213,12,0,680,44,False,False,True,False,False,True
19,184211,457,433057,12,2,765,5,False,False,False,False,True,False
69,154365,602,294741,12,3,477,27,False,True,False,False,True,False
64,165693,685,329902,12,2,699,37,False,False,False,True,False,False
39,125227,578,494155,12,3,714,47,True,False,False,False,False,True
25,127112,738,316393,24,0,641,41,True,False,False,False,False,True
21,167531,653,417269,36,4,567,88,False,True,False,False,True,False
24,169594,755,299944,36,1,335,34,True,False,False,False,True,False
50,42784,503,484278,36,3,670,45,False,False,False,False,False,True
51,137341,827,288161,24,1,718,63,False,False,True,False,False,False
69,42588,373,404782,36,1,318,90,True,False,False,False,False,True
22,105042,821,298559,48,3,648,90,False,False,True,False,False,False
63,32720,607,205878,12,4,417,64,False,False,True,False,True,False
35,72389,323,233057,24,1,655,65,False,False,True,False,True,False
44,144481,376,417548,24,0,712,13,False,True,False,False,True,False
29,91386,791,425141,48,4,842,6,False,False,False,False,False,True
21,176258,779,159125,24,1,622,19,True,False,False,False,True,False
35,26464,824,90997,24,3,827,90,False,False,False,False,False,False
28,183898,680,149151,36,4,698,60,False,False,True,False,False,False
32,76633,386,461297,48,1,821,53,False,False,False,True,False,True
31,21184,758,238597,48,1,698,15,False,False,True,False,False,True
66,31049,603,330554,12,1,310,61,True,False,False,False,True,False
65,182246,826,323249,48,3,417,92,False,False,True,False,False,True
50,137229,769,282004,60,2,645,82,False,True,False,False,False,False
23,119122,485,302535,24,4,790,12,False,True,False,False,False,True
18,32391,404,418727,48,4,855,26,False,False,False,False,False,False
18,141724,525,457694,24,3,381,36,False,False,False,False,False,False
40,21936,793,251765,24,4,791,28,False,False,False,True,False,False
53,98533,827,102847,60,3,788,80,False,True,False,False,False,False
30,33016,742,365372,60,0,717,24,False,False,False,True,False,False
44,27371,710,396069,24,4,549,44,False,False,False,False,False,True
30,80101,315,93116,24,1,853,28,False,False,True,False,False,False
34,142226,547,362969,60,2,558,35,False,True,False,False,False,False
33,127584,511,443701,48,4,541,63,False,False,True,False,True,False
58,133012,819,399549,24,4,507,52,False,True,False,False,False,False
25,136220,650,209674,36,2,755,72,False,True,False,False,False,True
22,106072,395,104251,12,3,546,71,False,False,False,False,True,False
37,131850,557,80147,48,4,622,30,False,False,False,False,False,False
22,98218,753,494052,48,4,423,99,False,False,False,False,False,True
68,40982,311,274432,36,3,729,10,False,False,True,False,False,True
23,167193,624,403907,12,2,614,13,False,True,False,False,False,False
18,42164,350,125497,60,2,409,58,False,False,False,False,False,True
24,153653,533,141485,48,0,331,83,False,False,False,True,False,False
66,186963,337,49898,24,3,679,91,True,False,False,False,False,False
52,130674,520,376513,48,4,822,73,False,True,False,False,True,False
49,193364,564,222189,60,0,718,87,True,False,False,False,False,False
20,160416,560,183448,24,0,698,30,False,True,False,False,True,False
40,181616,393,458968,12,4,531,45,True,False,False,False,False,True
60,51673,468,465662,48,2,609,62,False,True,False,False,False,False
24,103434,565,107020,36,2,385,45,False,False,True,False,False,True
59,60644,530,453632,24,2,618,26,False,False,False,False,False,False
32,177403,578,81794,60,3,707,28,False,False,True,False,False,False
64,149648,632,222544,36,2,767,27,False,False,True,False,False,True
43,101972,306,335927,60,3,696,5,False,False,False,False,False,True
32,169762,667,494366,12,4,713,58,False,False,False,False,False,True
58,71360,834,368604,36,4,330,77,True,False,False,False,False,False
68,76523,305,274228,48,0,511,38,False,False,False,True,False,True
40,186508,352,201979,60,2,872,68,False,False,False,True,False,False
53,134879,760,315546,24,2,734,18,True,False,False,False,False,True
50,79658,694,106967,36,4,545,27,False,True,False,False,True,False
47,187055,715,56884,60,1,392,41,False,True,False,False,False,True
68,33334,833,377265,48,4,689,96,False,False,False,False,False,True
26,52167,652,439711,48,1,838,31,False,False,True,False,True,False
29,63890,677,360659,60,1,849,27,False,True,False,False,True,False
20,91185,723,231074,36,0,833,60,False,False,False,False,True,False
43,90871,802,406782,60,3,592,61,False,True,False,False,True,False
34,51831,489,288197,48,0,777,9,False,True,False,False,False,True
64,169515,563,68944,12,0,536,56,False,False,True,False,False,False
49,100077,755,494993,60,1,314,54,False,False,False,False,False,True
63,30976,818,131691,36,2,726,6,False,False,True,False,False,True
48,89504,322,125738,24,4,415,7,True,False,False,False,False,False
64,74962,652,395112,36,0,555,10,False,False,False,True,False,False
40,123751,485,96414,36,2,307,32,True,False,False,False,False,False
61,178253,410,12101,24,2,605,64,True,False,False,False,False,True
51,27244,793,380433,48,4,369,83,False,False,False,False,False,True
54,25409,598,204283,48,4,621,87,False,True,False,False,False,False
43,111493,747,279089,48,3,845,65,False,False,True,False,False,False
61,129164,326,434387,36,1,322,2,False,False,False,True,True,False
45,91128,687,310868,60,2,771,86,False,False,True,False,False,True
52,122272,429,171901,48,2,488,90,False,False,True,False,False,True
67,191635,642,380926,48,1,359,88,False,True,False,False,True,False
23,168459,664,171234,48,4,885,81,True,False,False,False,False,False
34,100280,829,264073,36,1,715,98,False,False,False,False,False,False
38,44624,543,137848,36,2,338,31,False,True,False,False,True,False
38,136192,732,206703,60,0,722,12,True,False,False,False,False,False
25,114192,398,362092,48,1,662,60,False,True,False,False,False,False
55,79993,380,256204,24,1,636,24,False,True,False,False,True,False
37,82672,386,33380,60,2,372,31,False,False,False,False,True,False
65,161002,743,149582,24,2,438,80,False,False,False,False,False,False
35,67218,632,73908,48,2,389,66,False,True,False,False,True,False
37,66216,328,235611,36,3,731,39,False,False,False,True,False,False
39,153195,743,473616,12,2,751,74,True,False,False,False,False,False
51,183623,686,251209,12,3,861,35,False,False,False,False,False,False
40,103308,419,352694,12,3,539,20,True,False,False,False,False,False
42,122072,403,210407,24,4,617,87,False,True,False,False,True,False
47,109242,758,99330,12,2,464,52,False,False,True,False,False,False
35,170653,401,455909,60,2,736,6,False,False,False,True,False,True
68,105945,594,156781,60,0,554,50,True,False,False,False,True,False
20,40863,354,276639,12,1,345,42,True,False,False,False,False,True
58,87334,759,251309,24,3,584,33,False,True,False,False,False,False
63,47938,300,447505,48,0,472,61,False,False,False,True,False,True
27,52940,734,270968,36,0,338,84,True,False,False,False,False,True
23,56307,309,399039,12,4,877,64,True,False,False,False,False,False
69,197214,595,131794,12,3,554,15,False,False,False,False,False,False
38,182781,654,352455,36,0,612,87,False,False,True,False,False,False
66,41390,444,14864,24,2,650,18,False,False,False,False,False,True
43,187361,681,272984,24,2,644,1,False,False,False,True,False,False
24,21537,768,64321,60,3,777,61,False,False,False,True,False,False
52,162003,529,470767,36,4,747,97,False,True,False,False,False,True
27,72057,566,179980,24,4,324,78,False,False,False,False,False,True
55,191389,463,168558,24,1,637,61,False,False,False,True,True,False
34,37482,338,304741,24,0,356,16,False,True,False,False,False,True
28,137450,543,137532,48,2,848,43,True,False,False,False,True,False
28,54650,616,316200,48,0,802,50,True,False,False,False,False,False
20,149974,786,323521,36,3,424,41,False,True,False,False,True,False
21,66219,629,145842,24,3,897,38,False,False,False,True,False,False
61,87657,774,226890,36,3,700,15,False,False,False,False,False,False
67,152447,789,391684,36,4,339,7,False,False,False,True,False,True
29,127092,741,131560,36,2,326,24,False,False,False,True,False,False
29,149572,459,161308,36,4,326,50,False,False,True,False,True,False
47,53123,523,194506,24,4,526,16,False,False,False,False,False,True
52,32963,519,250526,36,1,419,66,False,False,True,False,True,False
45,72127,731,215376,24,1,646,56,False,False,False,True,False,False
30,97597,575,396013,24,1,882,43,True,False,False,False,False,False
22,195405,847,289935,48,2,375,91,False,False,False,False,True,False
47,154821,830,167650,24,3,672,47,False,True,False,False,False,True
53,150956,513,221197,12,0,885,10,False,False,True,False,False,False
69,169634,699,295832,12,3,504,53,False,False,False,False,False,True
40,185278,578,419097,60,0,860,79,False,True,False,False,False,True
61,134161,498,94229,24,4,669,47,False,False,False,True,False,False
58,194124,330,482154,48,0,470,22,True,False,False,False,True,False
65,72349,748,411080,36,1,388,62,False,False,False,False,False,False
41,50782,712,173704,60,3,853,84,False,False,True,False,True,False
53,191277,534,260908,36,0,799,85,False,False,False,True,False,True
30,54069,439,476529,12,0,712,42,False,False,True,False,True,False
58,66250,520,207541,48,0,770,59,False,False,False,True,False,True
50,76117,367,454450,48,4,869,14,False,False,False,False,False,True
54,131904,452,447747,12,2,313,97,False,True,False,False,False,False
65,25544,613,324121,12,0,457,74,False,True,False,False,False,False
35,164575,339,217143,48,3,840,16,False,False,False,True,False,False
33,178635,570,355346,12,3,502,40,False,True,False,False,False,False
26,81293,330,354380,12,0,397,90,False,False,True,False,False,False
33,153881,412,349041,12,0,811,91,False,False,True,False,False,False
28,57038,799,54393,36,2,681,59,False,False,False,False,True,False
53,185279,514,69022,60,0,347,95,True,False,False,False,True,False
68,166312,370,22540,60,1,547,79,False,True,False,False,True,False
25,199425,449,423277,24,2,565,33,False,False,False,True,False,False
24,31676,588,122862,60,2,506,27,False,False,False,False,False,False
23,49777,730,175114,12,4,452,43,False,False,True,False,False,False
64,42419,539,364648,48,1,730,46,False,False,False,False,False,True
39,129349,799,131552,60,1,596,94,False,True,False,False,False,False
18,57405,363,323063,24,4,630,26,False,False,False,False,False,False
30,76759,677,117878,36,3,892,83,True,False,False,False,False,True
47,39403,802,131041,60,4,581,64,True,False,False,False,False,True
38,141648,754,414251,12,0,814,31,False,True,False,False,False,False
33,165486,533,167187,36,2,445,55,True,False,False,False,False,False
25,168344,676,414362,60,1,501,40,True,False,False,False,True,False
54,131426,740,24283,48,3,815,41,False,False,True,False,False,False
44,187462,405,331867,48,3,341,5,False,False,True,False,False,False
23,186494,709,459318,60,1,744,76,False,False,True,False,False,False
45,86985,802,142719,12,3,644,55,False,True,False,False,False,True
56,36999,570,7596,12,4,625,65,True,False,False,False,False,False
20,42553,456,467028,60,1,486,87,False,False,True,False,False,True
40,35029,563,304837,24,0,408,19,True,False,False,False,False,False
18,149065,616,101920,48,1,526,74,False,True,False,False,False,False
25,94055,584,9787,36,3,702,95,False,False,False,False,False,False
66,128369,723,236876,36,3,592,2,False,True,False,False,False,False
35,46739,403,199162,36,1,810,87,False,False,False,False,False,False
27,57755,539,283272,60,0,603,25,False,False,True,False,False,True
34,119319,509,129541,24,1,486,37,False,False,False,False,False,True
40,122621,535,181609,48,4,876,77,False,False,False,True,True,False
29,148848,407,157093,12,4,858,95,False,True,False,False,False,False
54,31618,652,74381,48,4,477,55,True,False,False,False,False,True
66,119694,610,65285,48,0,332,55,False,False,False,False,False,False
28,39627,772,53447,12,4,317,62,False,False,True,False,True,False
46,81991,327,277196,24,1,775,62,False,False,True,False,True,False
26,189635,761,390122,48,3,518,89,True,False,False,False,False,True
32,53635,393,414991,48,2,708,24,True,False,False,False,True,False
19,98542,312,81126,60,4,319,62,False,True,False,False,True,False
53,189579,374,234919,36,2,829,87,False,False,False,False,True,False
25,33288,612,123105,60,3,770,28,False,False,False,False,False,True
52,32453,556,457400,48,4,383,63,False,False,False,False,False,True
68,80782,301,435754,60,0,746,17,False,False,False,True,True,False
62,40789,301,262023,48,1,701,35,False,False,False,True,True,False
65,27869,346,129130,36,3,534,35,False,False,True,False,True,False
30,92833,334,178453,36,2,708,67,False,False,True,False,False,True
52,174841,783,88804,12,1,839,40,False,False,False,False,True,False
50,172191,573,105960,48,4,630,4,False,False,True,False,False,True
45,168210,846,239855,48,1,771,30,False,False,False,False,False,True
37,122266,587,344099,12,3,485,56,False,False,False,True,True,False
38,36939,742,162879,24,2,792,8,True,False,False,False,False,True
68,100818,371,379791,24,0,597,35,False,False,True,False,False,True
55,126718,777,293077,36,3,527,5,False,False,True,False,False,True
49,185390,765,452543,12,3,411,44,True,False,False,False,True,False
57,58737,305,125918,12,4,629,46,False,False,False,False,True,False
56,69223,506,81757,48,1,780,97,False,False,True,False,True,False
38,141118,341,221992,12,2,889,63,False,True,False,False,False,True
34,109787,616,162044,48,4,529,93,True,False,False,False,False,False
32,101132,751,310480,24,3,860,96,True,False,False,False,False,True
57,42616,377,444863,48,4,496,17,False,True,False,False,False,False
25,131915,760,138005,12,2,624,44,False,True,False,False,False,True
53,60870,752,462180,24,2,378,45,False,False,False,False,False,True
34,171317,414,299550,60,2,313,12,False,True,False,False,True,False
58,195295,797,274283,60,0,446,13,False,False,False,True,False,False
